monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20251026,20251102,118
0,0,0,0,0,0,1,20251026,20251102,59
0,0,0,0,0,0,1,20251026,20251102,73
0,0,0,0,0,0,1,20251026,20251102,84
0,0,0,0,0,0,1,20251026,20251102,968
0,0,0,0,0,0,1,20251026,20251103,62
0,0,0,0,0,0,1,20251026,20251105,77
0,0,0,0,0,0,1,20251026,20251106,22
0,0,0,0,0,0,1,20251026,20251109,1079
0,0,0,0,0,0,1,20251026,20251109,11
0,0,0,0,0,0,1,20251026,20251109,323
0,0,0,0,0,0,1,20251026,20251109,360
0,0,0,0,0,0,1,20251026,20251109,570
0,0,0,0,0,0,1,20251026,20251116,713
0,0,0,0,0,0,1,20251026,20251116,74
0,0,0,0,0,0,1,20251026,20251116,813
0,0,0,0,0,0,1,20251026,20251123,1081
0,0,0,0,0,0,1,20251026,20251123,124
0,0,0,0,0,0,1,20251026,20251123,220
0,0,0,0,0,0,1,20251026,20251123,452
0,0,0,0,0,0,1,20251026,20251123,508
0,0,0,0,0,0,1,20251026,20251123,569
0,0,0,0,0,0,1,20251026,20251123,616
0,0,0,0,0,0,1,20251026,20251123,67
0,0,0,0,0,0,1,20251031,20251102,232
0,0,0,0,0,0,1,20251031,20251109,545
0,0,0,0,0,0,1,20251101,20251102,23
0,0,0,0,0,0,1,20251101,20251102,919
0,0,0,0,0,0,1,20251101,20251123,778
0,0,0,0,0,0,1,20251102,20251109,332
0,0,0,0,0,0,1,20251102,20251123,217
0,0,0,0,0,0,1,20251102,20251123,227
0,0,0,0,0,0,1,20251102,20251123,633
0,0,0,0,0,0,1,20251109,20251123,561
0,0,0,0,0,0,1,20251114,20251123,731
0,0,0,0,0,0,1,20251116,20251123,260
0,0,0,0,0,1,0,20251029,20251123,221
0,0,0,0,0,1,0,20251031,20251108,966
0,0,0,0,0,1,0,20251031,20251115,573
0,0,0,0,0,1,0,20251101,20251108,583
0,0,0,0,0,1,0,20251101,20251109,366
0,0,0,0,0,1,0,20251101,20251109,548
0,0,0,0,0,1,0,20251101,20251110,723
0,0,0,0,0,1,0,20251101,20251111,17
0,0,0,0,0,1,0,20251101,20251115,187
0,0,0,0,0,1,0,20251101,20251115,743
0,0,0,0,0,1,0,20251101,20251119,198
0,0,0,0,0,1,0,20251101,20251122,1094
0,0,0,0,0,1,0,20251101,20251122,614
0,0,0,0,0,1,0,20251101,20251122,634
0,0,0,0,0,1,0,20251101,20251122,963
0,0,0,0,0,1,0,20251101,20251122,992
0,0,0,0,0,1,0,20251101,20251123,1073
0,0,0,0,0,1,0,20251101,20251123,695
0,0,0,0,0,1,0,20251108,20251115,496
0,0,0,0,0,1,0,20251108,20251116,151
0,0,0,0,0,1,0,20251108,20251122,1102
0,0,0,0,0,1,0,20251108,20251122,327
0,0,0,0,0,1,0,20251114,20251122,784
0,0,0,0,0,1,0,20251115,20251122,540
0,0,0,0,0,1,1,20251026,20251101,639
0,0,0,0,0,1,1,20251026,20251102,910
0,0,0,0,0,1,1,20251026,20251108,1086
0,0,0,0,0,1,1,20251026,20251108,178
0,0,0,0,0,1,1,20251026,20251108,864
0,0,0,0,0,1,1,20251026,20251109,185
0,0,0,0,0,1,1,20251026,20251109,6
0,0,0,0,0,1,1,20251026,20251109,988
0,0,0,0,0,1,1,20251026,20251116,236
0,0,0,0,0,1,1,20251026,20251116,375
0,0,0,0,0,1,1,20251026,20251122,39
0,0,0,0,0,1,1,20251026,20251123,112
0,0,0,0,0,1,1,20251026,20251123,814
0,0,0,0,0,1,1,20251026,20251123,900
0,0,0,0,0,1,1,20251026,20251123,907
0,0,0,0,0,1,1,20251026,20251123,921
0,0,0,0,0,1,1,20251101,20251102,517
0,0,0,0,0,1,1,20251101,20251108,7
0,0,0,0,0,1,1,20251101,20251109,348
0,0,0,0,0,1,1,20251101,20251123,12
0,0,0,0,0,1,1,20251101,20251123,144
0,0,0,0,0,1,1,20251101,20251123,267
0,0,0,0,0,1,1,20251101,20251123,444
0,0,0,0,0,1,1,20251101,20251123,935
